Gene,Target,Target_broad
GH13_29,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_3,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_30,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_31,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_32,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_36,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_38,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_4,Other,Other
GH13_5,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_6,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_7,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_8,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_9,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH130,Beta-mannan,Beta-mannan
GH133,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH135,Other,Other
GH136,Other,Other
GH137,Other,Other
GH139,Alpha-fucan,Alpha-fucan
GH14,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH140,Other,Other
GH141,Other,Other
GH142,Other,Other
GH143,Other,Other
GH144,"Beta-1,2-glucan",Beta-glucan
GH146,Beta-arabinofuranose,Beta-arabinofuranosyl residues
GH149,Beta-glucan,Beta-glucan
GH15,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH151,Alpha-fucan,Alpha-fucan
GH152,"Beta-1,3-glucan",Beta-glucan
GH154,Beta-glucuronan,Glucuronan
GH156,Other,Other
GH157,"Beta-1,3-glucan",Beta-glucan
GH158,"Beta-1,3-glucan",Beta-glucan
GH159,Beta-galactofuranosyl residues,Beta-galactofuranosyl residues
GH16,Other,Other
GH16_1,"Beta-1,3-glucan/Beta-1,4-glucan",Beta-glucan
GH16_11,Other,Other
GH16_13,Beta-carrageenan,Other
GH16_2,Other,Other
GH16_21,"Beta-1,3-glucan/Beta-1,4-glucan",Beta-glucan
GH16_23,Other,Other
GH16_25,"Beta-1,3-glucan/Beta-1,4-glucan",Beta-glucan
GH16_3,Beta-glucan,Beta-glucan
GH16_5,"Beta-1,3-glucan/Beta-1,4-glucan",Beta-glucan
GH161,"Beta-1,3-glucan",Beta-glucan
GH163,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH165,Beta-galactan,Beta-galactan
GH166,Galactosaminogalactan,Other
GH168,Alpha-fucan,Alpha-fucan
GH17,"Beta-1,3-glucan",Beta-glucan
GH171,Peptidoglycan,Peptidoglycan
GH18,Peptidoglycan/chitin,Peptidoglycan/chitin
GH19,Peptidoglycan/chitin,Peptidoglycan/chitin
GH2,Other,Other
GH20,Beta-N-acetyl-hexosamine,Beta-N-acetyl-hexosamine
GH22,Peptidoglycan,Peptidoglycan
GH23,Peptidoglycan,Peptidoglycan
GH24,Peptidoglycan,Peptidoglycan
GH25,Peptidoglycan,Peptidoglycan
GH26,Other,Other
GH27,Other,Other
GH28,Rhamnogalacturonan/polygalacturonan,Galacturonan
GH29,Alpha-fucan,Alpha-fucan
GH3,Other,Other
GH30,Other,Other
GH30_1,Beta-glucan,Beta-glucan
GH30_2,"Beta-1,4-xylan",Beta-xylan
GH30_3,"Beta-1,6-glucan",Beta-glucan
GH30_4,Beta-fucan,Other
GH30_5,Beta-galactan,Other
GH31,Other,Other
GH32,Other,Other
GH33,Sialic acid,Other
GH35,Beta-galactan,Beta-galactan
GH36,Other,Other
GH37,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH38,Alpha-mannan,Alpha-mannan
GH39,Other,Other
GH4,Other,Other
GH42,Beta-galactan,Beta-galactan
GH43,Other,Other
GH43_1,Beta-xylan,Beta-xylan
GH43_10,Alpha-arabinofuranosyl residues/Beta-xylan,Other
GH43_11,Alpha-arabinofuranosyl residues/Beta-xylan,Other
GH43_12,Alpha-arabinofuranosyl residues/Beta-xylan,Other
GH43_17,Alpha-arabinofuranosyl residues/Beta-xylan,Other
GH43_18,Alpha-arabinofuranosyl residues,Alpha-arabinofuranosyl residues
GH43_2,Alpha-arabinofuranosyl residues,Alpha-arabinofuranosyl residues
