Species	Sample	Raw_abund	Rel_abund
species_1090	S8_BML	1	0.0896861
species_1091	S25_BML	1	0.0981354
species_1092	S26_SRF	1	0.0873362
species_1093	S10_SRF	1	0.06035
species_1094	S10_BML	2	0.11919
species_1094	S25_SRF	1	0.0933707
species_1094	S26_BML	2	0.22805
species_1094	S26_SRF	1	0.0873362
species_1095	S25_SRF	1	0.0933707
species_1096	S25_BML	1	0.0981354
species_1097	S10_BML	2	0.11919
species_1097	S10_SRF	4	0.2414
species_1098	S8_SRF	1	0.13459
species_1099	S10_BML	4	0.238379
species_1099	S10_SRF	3	0.18105
species_1099	S25_SRF	3	0.280112
species_1099	S26_BML	3	0.342075
species_1099	S26_SRF	5	0.436681
species_1099	S8_SRF	2	0.269179
species_11	S10_BML	1	0.0595948
species_110	S8_SRF	1	0.13459
species_1100	S10_BML	1	0.0595948
species_1100	S25_SRF	1	0.0933707
species_1100	S8_SRF	1	0.13459
species_1101	S10_BML	15	0.893921
species_1101	S10_SRF	13	0.78455
species_1101	S25_BML	3	0.294406
species_1101	S25_SRF	2	0.186741
species_1101	S26_BML	4	0.4561
species_1101	S26_SRF	1	0.0873362
species_1101	S8_BML	2	0.179372
species_1102	S26_SRF	1	0.0873362
species_1102	S8_BML	2	0.179372
species_1103	S26_BML	1	0.114025
species_1104	S10_SRF	1	0.06035
species_1104	S8_BML	1	0.0896861
species_1105	S10_SRF	22	1.3277
species_1105	S25_SRF	1	0.0933707
species_1105	S26_BML	3	0.342075
species_1105	S26_SRF	1	0.0873362
species_1105	S8_BML	1	0.0896861
species_1105	S8_SRF	1	0.13459
species_1106	S26_BML	2	0.22805
species_1106	S26_SRF	1	0.0873362
species_1106	S8_BML	1	0.0896861
species_1106	S8_SRF	1	0.13459
species_1107	S10_BML	1	0.0595948
species_1107	S10_SRF	1	0.06035
species_1107	S25_SRF	2	0.186741
species_1107	S26_SRF	2	0.174672
species_1107	S8_BML	1	0.0896861
species_1108	S26_SRF	1	0.0873362
species_1109	S10_BML	1	0.0595948
species_111	S8_SRF	1	0.13459
species_1110	S26_BML	1	0.114025
species_1111	S8_SRF	1	0.13459
species_1112	S10_BML	4	0.238379
species_1112	S25_SRF	2	0.186741
species_1112	S26_BML	2	0.22805
species_1112	S26_SRF	3	0.262009
species_1112	S8_BML	5	0.44843
species_1112	S8_SRF	3	0.403769
species_1113	S10_BML	1	0.0595948
species_1114	S10_BML	1	0.0595948
species_1115	S10_BML	1	0.0595948
species_1116	S26_BML	1	0.114025
species_1117	S25_SRF	1	0.0933707
species_1118	S10_BML	3	0.178784
species_1118	S26_SRF	2	0.174672
species_1119	S8_BML	2	0.179372
species_112	S10_BML	2	0.11919
species_112	S26_SRF	1	0.0873362
species_112	S8_SRF	2	0.269179
species_1120	S10_SRF	1	0.06035
species_1120	S25_BML	1	0.0981354
species_1120	S25_SRF	2	0.186741
species_1120	S26_BML	1	0.114025
species_1120	S26_SRF	4	0.349345
species_1121	S10_BML	12	0.715137
species_1121	S10_SRF	1	0.06035
species_1121	S25_SRF	5	0.466853
species_1121	S26_BML	9	1.02623
species_1121	S26_SRF	2	0.174672
species_1121	S8_BML	4	0.358744
species_1121	S8_SRF	3	0.403769
species_1122	S10_BML	1	0.0595948
species_1123	S25_BML	1	0.0981354
species_1123	S26_BML	1	0.114025
species_1124	S10_BML	13	0.774732
species_1124	S10_SRF	11	0.66385
species_1124	S25_BML	4	0.392542
species_1124	S25_SRF	9	0.840336
species_1124	S26_BML	5	0.570125
species_1124	S26_SRF	2	0.174672
species_1124	S8_BML	3	0.269058
species_1124	S8_SRF	1	0.13459
species_1125	S26_BML	2	0.22805
species_1125	S26_SRF	1	0.0873362
species_1125	S8_SRF	1	0.13459
species_1126	S8_BML	1	0.0896861
species_1127	S26_BML	1	0.114025
species_1128	S8_BML	1	0.0896861
species_1129	S10_SRF	1	0.06035
species_1129	S25_BML	1	0.0981354
species_113	S10_BML	4	0.238379
species_113	S10_SRF	8	0.4828
species_113	S25_BML	1	0.0981354
species_113	S25_SRF	3	0.280112
species_113	S26_BML	3	0.342075
species_113	S26_SRF	2	0.174672
species_113	S8_BML	2	0.179372
